til venstre;to the left;Bilde
til høyre;to the right;Bilde
i midten;in the middle;Bilde
i bakgrunnen;in the background;Bilde
i forgrunnen;in the foreground;Bilde
foran;in front of;Bilde
bak;behind;Bilde
ved siden av;next to;Bilde
mellom;between;Bilde
det ser ut som;it looks like;Bilde
jeg tror at;I think that;Bilde
kanskje;maybe;Bilde
det virker som;it seems like;Bilde
har på seg;is wearing;Bilde
foreldre;parents;Familie
en mor;a mother;Familie
en far;a father;Familie
en sønn;a son;Familie
en datter;a daughter;Familie
en bror;a brother;Familie
en søster;a sister;Familie
søsken;siblings;Familie
en bestemor;a grandmother;Familie
en bestefar;a grandfather;Familie
en onkel;an uncle;Familie
en tante;an aunt;Familie
en mann / en kone;husband / wife;Familie
en kjæreste;boyfriend / girlfriend;Familie
samboer;live-in partner;Familie
gift / ugift / skilt;married / unmarried / divorced;Familie
en nabo;a neighbor;Familie
en venn / en venninne;a (male) friend / a (female) friend;Familie
en jobb / et arbeid;a job / work;Jobb
et kontor;an office;Jobb
en kollega;a colleague;Jobb
heltid / deltid;full-time / part-time;Jobb
å søke jobb;to apply for a job;Jobb
en utdanning;education;Jobb
norskkurs;Norwegian course;Jobb
en lærer;a teacher;Jobb
en lege;a doctor;Jobb
en sykepleier;a nurse;Jobb
en ingeniør;an engineer;Jobb
en kokk;a cook / chef;Jobb
en sjåfør;a driver;Jobb
en praksis;internship;Jobb
en lønn;salary;Jobb
å lære / å studere;to learn / to study;Jobb
å trene;to exercise / work out;Fritid
å gå på tur;to go hiking;Fritid
å lese;to read;Fritid
å se på TV;to watch TV;Fritid
å spille fotball;to play football;Fritid
å svømme;to swim;Fritid
å sykle;to cycle;Fritid
å stå på ski;to ski;Fritid
å lage mat;to cook;Fritid
å høre på musikk;to listen to music;Fritid
å reise;to travel;Fritid
å besøke venner;to visit friends;Fritid
å gå på kino;to go to the cinema;Fritid
jeg pleier å;I usually;Fritid
av og til;sometimes;Fritid
det er gøy å;it's fun to;Fritid
brød / brødskive;bread / slice of bread;Mat
ost / smør;cheese / butter;Mat
melk / juice / vann;milk / juice / water;Mat
kjøtt / kylling / fisk;meat / chicken / fish;Mat
grønnsaker / frukt;vegetables / fruit;Mat
ris / pasta / poteter;rice / pasta / potatoes;Mat
frokost;breakfast;Mat
lunsj;lunch;Mat
middag / kveldsmat;dinner / evening meal;Mat
sunn / usunn;healthy / unhealthy;Mat
å være syk;to be sick;Mat
en fastlege;GP / family doctor;Mat
en time (hos legen);appointment (at the doctor);Mat
vondt i ...;pain in ...;Mat
et hus / en leilighet;house / apartment;Bolig
et kjøkken;a kitchen;Bolig
en stue;a living room;Bolig
et soverom;a bedroom;Bolig
et baderom;a bathroom;Bolig
en hage / en balkong;garden / balcony;Bolig
å leie / å eie;to rent / to own;Bolig
en husleie;rent;Bolig
et nabolag;a neighborhood;Bolig
i nærheten av;near / close to;Bolig
solen skinner;the sun is shining;Vær
det regner;it's raining;Vær
det snør;it's snowing;Vær
det blåser;it's windy;Vær
det er kaldt / varmt;it's cold / warm;Vær
det er fint vær;it's nice weather;Vær
det er dårlig vær;it's bad weather;Vær
vår / sommer;spring / summer;Vær
høst / vinter;autumn / winter;Vær
mørketid / midnattssol;dark season / midnight sun;Vær
å våkne / å stå opp;to wake up / to get up;Rutine
å dusje;to shower;Rutine
å kle på seg;to get dressed;Rutine
å ta bussen;to take the bus;Rutine
å begynne på jobb;to start work;Rutine
å ha pause;to have a break;Rutine
å hente barna;to pick up the kids;Rutine
å handle mat;to buy groceries;Rutine
å legge seg;to go to bed;Rutine
om morgenen / om kvelden;in the morning / in the evening;Rutine
hver dag / hver morgen;every day / every morning;Rutine
først ... så ... til slutt;first ... then ... finally;Rutine
en buss / en trikk;bus / tram;Reise
et tog / et fly;train / plane;Reise
en bil / en sykkel;car / bicycle;Reise
en billett / et busskort;ticket / bus pass;Reise
en holdeplass / en stasjon;stop / station;Reise
en flyplass;airport;Reise
å kjøre bil;to drive a car;Reise
en ferie / en tur;holiday / trip;Reise
å bestille;to book / to order;Reise
en jakke;a jacket;Klær
en genser;a sweater;Klær
en bukse;trousers;Klær
en kjole;a dress;Klær
sko / støvler;shoes / boots;Klær
en lue / et skjerf;beanie / scarf;Klær
rød / blå / grønn;red / blue / green;Klær
gul / hvit / svart;yellow / white / black;Klær
grå / brun / rosa;grey / brown / pink;Klær
lys / mørk;light / dark;Klær
et hjemland;home country;Norge
en innvandrer;immigrant;Norge
integrering;integration;Norge
en tradisjon;a tradition;Norge
en høytid;a holiday / celebration;Norge
17. mai;May 17th (Constitution Day);Norge
dugnad;voluntary communal work;Norge
friluftsliv;outdoor life;Norge
likestilling;equality;Norge
forskjellig / lik;different / similar;Norge
trygg / sikker;safe / secure;Norge
jeg savner;I miss;Norge
jeg har blitt vant til;I've gotten used to;Norge
kan du gjenta det?;can you repeat that?;Fraser
hva betyr ...?;what does ... mean?;Fraser
jeg forstår ikke;I don't understand;Fraser
la meg tenke;let me think;Fraser
det er et godt spørsmål;that's a good question;Fraser
jeg synes at;I think/feel that;Fraser
for å være ærlig;to be honest;Fraser
det kommer an på;it depends on;Fraser
for eksempel;for example;Fraser
dessuten;besides / moreover;Fraser
selv om;even though;Fraser
i hjemlandet mitt;in my home country;Fraser
den største forskjellen er;the biggest difference is;Fraser
